A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
1	02Oct1891	232.4
2	03Oct1891	232.4
3	04Oct1891	232.4
4	05Oct1891	232.4
5	06Oct1891	232.4
6	07Oct1891	232.4
7	08Oct1891	232.4
8	09Oct1891	232.4
9	10Oct1891	232.4
10	11Oct1891	232.4
11	12Oct1891	232.4
12	13Oct1891	232.4
13	14Oct1891	232.4
14	15Oct1891	232.4
15	16Oct1891	232.4
16	17Oct1891	232.4
17	18Oct1891	232.4
18	19Oct1891	232.4
19	20Oct1891	232.4
20	21Oct1891	232.4
21	22Oct1891	232.4
22	23Oct1891	232.4
23	24Oct1891	232.4
24	25Oct1891	232.4
25	26Oct1891	232.4
26	27Oct1891	232.4
27	28Oct1891	232.4
28	29Oct1891	232.4
29	30Oct1891	232.4
30	31Oct1891	232.4
31	01Nov1891	232.4
32	02Nov1891	232.4
33	03Nov1891	239.2
34	04Nov1891	239.2
35	05Nov1891	239.2
36	06Nov1891	239.2
37	07Nov1891	239.2
38	08Nov1891	239.2
39	09Nov1891	239.2
40	10Nov1891	239.2
41	11Nov1891	239.2
42	12Nov1891	239.2
43	13Nov1891	239.2
44	14Nov1891	239.2
45	15Nov1891	239.2
46	16Nov1891	239.2
47	17Nov1891	239.2
48	18Nov1891	239.2
49	19Nov1891	239.2
50	20Nov1891	239.2
51	21Nov1891	239.2
52	22Nov1891	239.2
53	23Nov1891	239.2
54	24Nov1891	239.2
55	25Nov1891	239.2
56	26Nov1891	239.2
57	27Nov1891	239.2
58	28Nov1891	239.2
59	29Nov1891	239.2
60	30Nov1891	239.2
61	01Dec1891	239.2
62	02Dec1891	239.2
63	03Dec1891	239.2
64	04Dec1891	297.2
65	05Dec1891	297.2
66	06Dec1891	297.2
67	07Dec1891	297.2
68	08Dec1891	355.2
69	09Dec1891	372.8
70	10Dec1891	372.8
71	11Dec1891	320.0
72	12Dec1891	289.6
73	13Dec1891	274.8
74	14Dec1891	260.4
75	15Dec1891	260.4
76	16Dec1891	260.4
77	17Dec1891	297.2
78	18Dec1891	312.4
79	19Dec1891	337.6
80	20Dec1891	337.6
81	21Dec1891	337.6
82	22Dec1891	337.6
83	23Dec1891	337.6
84	24Dec1891	312.4
85	25Dec1891	312.4
86	26Dec1891	328.8
87	27Dec1891	337.6
88	28Dec1891	328.8
89	29Dec1891	355.2
90	30Dec1891	564.0
91	31Dec1891	564.0
92	01Jan1892	620.0
93	02Jan1892	428.0
94	03Jan1892	428.0
95	04Jan1892	416.0
96	05Jan1892	416.0
97	06Jan1892	440.0
98	07Jan1892	564.0
99	08Jan1892	644.0
100	09Jan1892	680.0
101	10Jan1892	644.0
102	11Jan1892	520.0
103	12Jan1892	381.6
104	13Jan1892	355.2
105	14Jan1892	328.8
106	15Jan1892	328.8
107	16Jan1892	320.0
108	17Jan1892	312.4
109	18Jan1892	304.8
110	19Jan1892	304.8
111	20Jan1892	304.8
112	21Jan1892	304.8
113	22Jan1892	304.8
114	23Jan1892	304.8
115	24Jan1892	304.8
116	25Jan1892	304.8
117	26Jan1892	428.0
118	27Jan1892	552.0
119	28Jan1892	408.0
120	29Jan1892	399.2
121	30Jan1892	408.0
122	31Jan1892	390.4
123	01Feb1892	372.8
124	02Feb1892	364.0
125	03Feb1892	364.0
126	04Feb1892	372.8
127	05Feb1892	428.0
128	06Feb1892	488.0
129	07Feb1892	416.0
130	08Feb1892	399.2
131	09Feb1892	399.2
132	10Feb1892	399.2
133	11Feb1892	390.4
134	12Feb1892	381.6
135	13Feb1892	372.8
136	14Feb1892	355.2
137	15Feb1892	337.6
138	16Feb1892	337.6
139	17Feb1892	337.6
140	18Feb1892	448.0
141	19Feb1892	780.0
142	20Feb1892	1176.0
143	21Feb1892	1352.0
144	22Feb1892	1760.0
145	23Feb1892	1272.0
146	24Feb1892	780.0
147	25Feb1892	656.0
148	26Feb1892	644.0
149	27Feb1892	608.0
150	28Feb1892	532.0
151	29Feb1892	508.0
152	01Mar1892	428.0
153	02Mar1892	408.0
154	03Mar1892	372.8
155	04Mar1892	346.4
156	05Mar1892	337.6
157	06Mar1892	337.6
158	07Mar1892	337.6
159	08Mar1892	337.6
160	09Mar1892	337.6
161	10Mar1892	337.6
162	11Mar1892	337.6
163	12Mar1892	337.6
164	13Mar1892	337.6
165	14Mar1892	337.6
166	15Mar1892	399.2
167	16Mar1892	399.2
168	17Mar1892	428.0
169	18Mar1892	428.0
170	19Mar1892	520.0
171	20Mar1892	804.0
172	21Mar1892	644.0
173	22Mar1892	588.0
174	23Mar1892	520.0
175	24Mar1892	480.0
176	25Mar1892	456.0
177	26Mar1892	428.0
178	27Mar1892	428.0
179	28Mar1892	456.0
180	29Mar1892	792.0
181	30Mar1892	948.0
182	31Mar1892	1020.0
183	01Apr1892	1096.0
184	02Apr1892	964.0
185	03Apr1892	868.0
186	04Apr1892	728.0
187	05Apr1892	644.0
188	06Apr1892	588.0
189	07Apr1892	588.0
190	08Apr1892	620.0
191	09Apr1892	656.0
192	10Apr1892	680.0
193	11Apr1892	620.0
194	12Apr1892	620.0
195	13Apr1892	656.0
196	14Apr1892	792.0
197	15Apr1892	1820.0
198	16Apr1892	1160.0
199	17Apr1892	1036.0
200	18Apr1892	868.0
201	19Apr1892	764.0
202	20Apr1892	704.0
203	21Apr1892	740.0
204	22Apr1892	844.0
205	23Apr1892	764.0
206	24Apr1892	620.0
207	25Apr1892	576.0
208	26Apr1892	588.0
209	27Apr1892	564.0
210	28Apr1892	576.0
211	29Apr1892	620.0
212	30Apr1892	668.0
213	01May1892	668.0
214	02May1892	816.0
215	03May1892	936.0
216	04May1892	816.0
217	05May1892	828.0
218	06May1892	1020.0
219	07May1892	1052.0
220	08May1892	896.0
221	09May1892	924.0
222	10May1892	780.0
223	11May1892	924.0
224	12May1892	804.0
225	13May1892	764.0
226	14May1892	704.0
227	15May1892	1524.0
228	16May1892	1080.0
229	17May1892	908.0
230	18May1892	868.0
231	19May1892	764.0
232	20May1892	752.0
233	21May1892	704.0
234	22May1892	704.0
235	23May1892	728.0
236	24May1892	728.0
237	25May1892	692.0
238	26May1892	620.0
239	27May1892	596.0
240	28May1892	588.0
241	29May1892	552.0
242	30May1892	508.0
243	31May1892	496.0
244	01Jun1892	480.0
245	02Jun1892	468.0
246	03Jun1892	468.0
247	04Jun1892	448.0
248	05Jun1892	428.0
249	06Jun1892	416.0
250	07Jun1892	416.0
251	08Jun1892	408.0
252	09Jun1892	408.0
253	10Jun1892	496.0
254	11Jun1892	428.0
255	12Jun1892	399.2
256	13Jun1892	390.4
257	14Jun1892	381.6
258	15Jun1892	372.8
259	16Jun1892	372.8
260	17Jun1892	372.8
261	18Jun1892	364.0
262	19Jun1892	364.0
263	20Jun1892	364.0
264	21Jun1892	355.2
265	22Jun1892	355.2
266	23Jun1892	346.4
267	24Jun1892	337.6
268	25Jun1892	337.6
269	26Jun1892	337.6
270	27Jun1892	355.2
271	28Jun1892	355.2
272	29Jun1892	346.4
273	30Jun1892	320.0
274	01Jul1892	320.0
275	02Jul1892	320.0
276	03Jul1892	312.4
277	04Jul1892	304.8
278	05Jul1892	304.8
279	06Jul1892	289.6
280	07Jul1892	289.6
281	08Jul1892	289.6
282	09Jul1892	282.0
283	10Jul1892	282.0
284	11Jul1892	282.0
285	12Jul1892	282.0
286	13Jul1892	274.8
287	14Jul1892	267.6
288	15Jul1892	267.6
289	16Jul1892	260.4
290	17Jul1892	260.4
291	18Jul1892	260.4
292	19Jul1892	260.4
293	20Jul1892	260.4
294	21Jul1892	260.4
295	22Jul1892	260.4
296	23Jul1892	260.4
297	24Jul1892	260.4
298	25Jul1892	253.2
299	26Jul1892	246.0
300	27Jul1892	246.0
301	28Jul1892	246.0
302	29Jul1892	246.0
303	30Jul1892	246.0
304	31Jul1892	239.2
305	01Aug1892	232.4
306	02Aug1892	225.6
307	03Aug1892	218.8
308	04Aug1892	218.8
309	05Aug1892	218.8
310	06Aug1892	218.8
311	07Aug1892	218.8
312	08Aug1892	225.6
313	09Aug1892	239.2
314	10Aug1892	246.0
315	11Aug1892	246.0
316	12Aug1892	246.0
317	13Aug1892	246.0
318	14Aug1892	246.0
319	15Aug1892	246.0
320	16Aug1892	232.4
321	17Aug1892	225.6
322	18Aug1892	218.8
323	19Aug1892	218.8
324	20Aug1892	218.8
325	21Aug1892	218.8
326	22Aug1892	218.8
327	23Aug1892	218.8
328	24Aug1892	218.8
329	25Aug1892	218.8
330	26Aug1892	218.8
331	27Aug1892	218.8
332	28Aug1892	218.8
333	29Aug1892	225.6
334	30Aug1892	225.6
335	31Aug1892	225.6
