A		DEER C
B		SMARTSVILLE CA
C		FLOW-UNREG
E		
F		CALC-NONEG
Units		CFS
Type		PER-AVER
1	01Oct2005	0
2	02Oct2005	0
3	03Oct2005	0
4	04Oct2005	0
5	05Oct2005	0
6	06Oct2005	0
7	07Oct2005	0
8	08Oct2005	0
9	09Oct2005	0
10	10Oct2005	0
11	11Oct2005	0
12	12Oct2005	0
13	13Oct2005	0
14	14Oct2005	13
15	15Oct2005	21
16	16Oct2005	38
17	17Oct2005	37
18	18Oct2005	30
19	19Oct2005	39
20	20Oct2005	39
21	21Oct2005	42
22	22Oct2005	35
23	23Oct2005	34
24	24Oct2005	37
25	25Oct2005	52
26	26Oct2005	34
27	27Oct2005	40
28	28Oct2005	43
29	29Oct2005	33
30	30Oct2005	37
31	31Oct2005	28
32	01Nov2005	22
33	02Nov2005	27
34	03Nov2005	45
35	04Nov2005	27
36	05Nov2005	29
37	06Nov2005	37
38	07Nov2005	30
39	08Nov2005	31
40	09Nov2005	30
41	10Nov2005	19
42	11Nov2005	21
43	12Nov2005	42
44	13Nov2005	17
45	14Nov2005	20
46	15Nov2005	26
47	16Nov2005	19
48	17Nov2005	16
49	18Nov2005	8
50	19Nov2005	15
51	20Nov2005	16
52	21Nov2005	19
53	22Nov2005	17
54	23Nov2005	24
55	24Nov2005	70
56	25Nov2005	28
57	26Nov2005	43
58	27Nov2005	60
59	28Nov2005	71
60	29Nov2005	74
61	30Nov2005	401
62	01Dec2005	457
63	02Dec2005	509
64	03Dec2005	89
65	04Dec2005	58
66	05Dec2005	47
67	06Dec2005	35
68	07Dec2005	39
69	08Dec2005	36
70	09Dec2005	34
71	10Dec2005	36
72	11Dec2005	39
73	12Dec2005	37
74	13Dec2005	33
75	14Dec2005	30
76	15Dec2005	32
77	16Dec2005	31
78	17Dec2005	207
79	18Dec2005	419
80	19Dec2005	421
81	20Dec2005	297
82	21Dec2005	940
83	22Dec2005	2025
84	23Dec2005	620
85	24Dec2005	351
86	25Dec2005	984
87	26Dec2005	1522
88	27Dec2005	982
89	28Dec2005	2275
90	29Dec2005	1115
91	30Dec2005	2479
92	31Dec2005	7250
93	01Jan2006	1830
94	02Jan2006	2050
95	03Jan2006	1140
96	04Jan2006	733
97	05Jan2006	575
98	06Jan2006	469
99	07Jan2006	398
100	08Jan2006	386
101	09Jan2006	315
102	10Jan2006	279
103	11Jan2006	284
104	12Jan2006	263
105	13Jan2006	232
106	14Jan2006	364
107	15Jan2006	479
108	16Jan2006	313
109	17Jan2006	268
110	18Jan2006	512
111	19Jan2006	400
112	20Jan2006	313
113	21Jan2006	273
114	22Jan2006	251
115	23Jan2006	230
116	24Jan2006	206
117	25Jan2006	189
118	26Jan2006	199
119	27Jan2006	196
120	28Jan2006	216
121	29Jan2006	347
122	30Jan2006	407
123	31Jan2006	446
124	01Feb2006	360
125	02Feb2006	725
126	03Feb2006	496
127	04Feb2006	513
128	05Feb2006	443
129	06Feb2006	377
130	07Feb2006	324
131	08Feb2006	299
132	09Feb2006	270
133	10Feb2006	248
134	11Feb2006	227
135	12Feb2006	212
